username,n_games,panic_score_mean,panic_score_std,time_per_move_mean,capture_rate_mean,capture_rate_std,sacrifice_rate_mean,check_rate_mean,early_aggression_mean,piece_activity_mean,avg_material_diff,castle_rate,avg_castle_move,gambit_rate,sharp_opening_rate,opening_entropy,top_opening_pct,unique_openings,win_rate,draw_rate,decisive_rate,avg_game_length,cluster_kmeans,cluster_gmm,cluster_dbscan,cluster_hierarchical,gmm_prob_cluster_0,gmm_prob_cluster_1
Alex_Soelden,100,2.3432529569846827,3.557470803164246,773.3045712702011,0.2322141745074679,0.0573560556601661,0.0884986505744315,0.0578541421832294,1.49,5.4,0.7494950730958218,0.85,9.870588235294118,0.14,0.03,3.19790297034287,0.12,33,0.73,0.13,0.87,78.45,1,1,-1,1,2.1843146426439826e-06,0.999997815685358
AnhTuan0504,82,1.9767248679537976,2.0244344981419857,674.9760475992633,0.2044921912970035,0.0582657372638078,0.0568755778762738,0.0503530224025706,1.1829268292682926,5.2682926829268295,0.4847788608301118,0.8780487804878049,9.51388888888889,0.1341463414634146,0.2317073170731707,3.758971596874676,0.0609756097560975,49,0.6097560975609756,0.1097560975609756,0.8902439024390244,95.54878048780488,1,1,-1,1,9.438222184970814e-05,0.9999056177781503
AtalikS,100,2.977214197149759,4.327005089889536,490.2398215458634,0.2179775417970063,0.0543160684062992,0.0791429335088908,0.0526845847064727,1.38,5.58,0.7071225042325557,0.92,9.652173913043478,0.12,0.19,4.025361299695658,0.05,64,0.76,0.15,0.86,82.25,1,1,-1,1,0.003992457553740744,0.9960075424462593
BelyakovBogdan,100,3.7134793421700807,13.89096819585868,706.0185681925248,0.2363941180170202,0.065005348368552,0.0853854748750218,0.0684174956960227,1.7653061224489797,5.928571428571429,0.3345182193002963,0.83,8.120481927710843,0.08,0.48,3.98446468355248,0.06,62,0.6,0.14,0.88,79.01,0,0,-1,0,0.9999999848366007,1.516339989746285e-08
BlindfoldsChess,100,11.534771867130903,21.57427314720719,1268.1934550994113,0.2614076977417824,0.0657409112231795,0.1024476153458013,0.0870640777589496,2.16,5.96,0.7133121322930905,0.76,9.526315789473683,0.17,0.43,3.6949063477514734,0.09,52,0.53,0.01,0.99,50.75,0,0,-1,0,1.0,5.177623504435292e-70
BlueOpera,100,6.451551378360372,29.40889700570482,866.275624285322,0.2323127961061878,0.0579268776990089,0.0815842485508762,0.0670621165654494,1.55,5.83,0.59880127532698,0.86,8.813953488372093,0.07,0.33,3.9560465816396624,0.05,61,0.6,0.1,0.9,75.57,0,0,-1,0,1.0,6.292897463005269e-33
CHESSMAESTR21,100,4.540383264802573,8.208004580646355,1247.9016371735645,0.2255945115351092,0.0631320579129087,0.074538060694037,0.0667779629602725,1.43,5.03,0.649308609247026,0.86,10.16279069767442,0.18,0.24,3.484082345107772,0.1,44,0.69,0.06,0.94,79.05,0,0,-1,0,0.9775936765866505,0.02240632341335012
Catalonian_Bishop,100,2.788456663367436,4.541008636337451,1227.2841771146173,0.2443835226877645,0.0613117378088272,0.0978503552511321,0.09112330420437,1.9,5.58,0.9615336835415778,0.88,9.272727272727272,0.11,0.32,4.009934876050289,0.08,65,0.57,0.14,0.88,75.2,0,0,-1,0,0.9939801659766268,0.006019834023373625
ChessTheory64,100,3.160034194823783,9.825379202086358,775.0051943106125,0.2172783227433662,0.0583759358667195,0.0714043060097982,0.0548555234116763,1.47,5.35,0.7358420345220682,0.92,8.630434782608695,0.14,0.21,3.917855731541974,0.06,59,0.7,0.18,0.82,92.38,1,1,-1,1,0.00029920824138551235,0.9997007917586147
Chesssknock,100,3.79473246417216,6.572314382590744,753.9571752302581,0.2067071430350976,0.06192438265106,0.0643276801873488,0.0449713040771933,1.0,5.54,0.3883750990357857,0.81,11.25925925925926,0.0,0.0,2.594869052706095,0.21,22,0.54,0.19,0.82,101.32,1,1,-1,1,3.371984010121791e-17,1.0
CoolChessSchool,100,3.3895175145413448,4.3599715280806,835.6854997670946,0.2277331827644584,0.0579929818119401,0.0816187035607615,0.0706608820968954,1.79,6.12,0.6078757476633563,0.94,8.75531914893617,0.04,0.05,2.977828443926273,0.12,29,0.74,0.16,0.87,84.54,1,1,-1,1,0.00459108857080171,0.995408911429198
DarkNebula-B,100,2.58726842991658,3.2029270897919773,981.9332233160552,0.2194501747116612,0.0505357670287701,0.0756764908205509,0.066988875381202,1.36,6.17,0.3771466389668803,0.98,7.581632653061225,0.06,0.4,3.7444334260682046,0.06,51,0.56,0.15,0.87,97.17,1,1,-1,1,1.0726654256187623e-12,0.9999999999989271
Demon_of_Draws,100,6.709182414025698,11.524179035162245,1283.5439641713022,0.2263265925840399,0.0590275884904727,0.0950972246521274,0.0771158142847206,1.505050505050505,5.252525252525253,0.3293691488668833,0.79,9.708860759493673,0.31,0.33,3.081427858408775,0.12,32,0.54,0.08,0.93,79.35,0,0,-1,0,0.9999999999866009,1.3398516213945898e-11
ForzaGambettos,54,2.3854183587972506,3.750313476451808,1146.8344493261447,0.2534979579799681,0.0537482957303471,0.1023532059392154,0.1019635927997187,1.8148148148148149,5.7407407407407405,0.7895635492039235,0.8148148148148148,10.181818181818182,0.2962962962962963,0.3148148148148148,3.486844925374309,0.0925925925925925,38,0.8888888888888888,0.0185185185185185,0.9814814814814816,64.87037037037037,0,0,-1,0,0.99998323554762,1.6764452380741873e-05
Frankeinsteinzombie,100,3.315205212728693,6.500020772266653,1046.1883868874029,0.214490316815479,0.0570979584526489,0.0755809160333556,0.063340364943141,1.62,5.53,0.5446670889360373,0.93,9.817204301075268,0.11,0.6,3.0044029847624647,0.21,33,0.62,0.11,0.9,88.91,1,1,-1,1,3.441008231933146e-21,1.0
Glidzhian_Gor,100,2.800849121526548,3.769497921166302,875.7252337617647,0.213791332654922,0.0467730376978225,0.0823387549463326,0.0857642854651381,1.66,5.78,0.0311628615902901,0.88,8.534090909090908,0.19,0.4,3.7010685947589215,0.11,53,0.6,0.08,0.93,92.77,1,1,-1,1,3.593175894509406e-06,0.9999964068241047
Heavyisthecrown123,100,2.629914944303084,5.923004200031581,927.7276351196176,0.2282133641683351,0.0594997765573841,0.0807970517229144,0.0730690055718887,1.7,5.52,0.343709698709513,0.83,10.83132530120482,0.24,0.38,3.601583785116043,0.07,47,0.58,0.17,0.86,89.81,1,1,-1,1,0.0019926016277182082,0.998007398372282
HenryChesspro,100,7.3605556928194416,11.020975236949663,1235.0524315225084,0.2476188599241682,0.0626668617775107,0.0969899061962958,0.0846764732372918,1.85,4.69,0.4873665937002536,0.86,10.22093023255814,0.34,0.34,2.182665923376387,0.31,18,0.79,0.08,0.93,69.39,0,0,-1,0,1.0,2.2899652590320127e-16
I_Am_The_Wise_Raven,83,1.7678107537445231,2.9400935746602297,992.7830943291624,0.2212593282328087,0.0586797891643986,0.0788948826298562,0.0758247484017726,1.6282051282051282,5.5256410256410255,0.0164359992398056,0.7469879518072289,8.790322580645162,0.036144578313253,0.2771084337349397,3.647162123248558,0.108433734939759,48,0.5903614457831325,0.0602409638554216,0.9518072289156626,94.33734939759036,1,1,-1,1,1.2608140063451437e-06,0.9999987391859929
JohnWaball,100,2.182984195812097,3.607815376997467,982.290787460296,0.2280741733004079,0.0437612171964472,0.0766043999773541,0.0660693502454476,1.31,5.35,0.5049727875263503,0.86,9.616279069767442,0.08,0.13,3.837383835920268,0.05,55,0.62,0.11,0.89,89.25,1,1,-1,1,2.191099260797733e-05,0.9999780890073917
Just_No_Fun,100,1.9747062308815333,4.085062722034323,600.1813024920701,0.2374940470298055,0.0594830098850761,0.0926046668949121,0.062456977415529,1.39,5.33,0.8499978408089711,0.92,8.565217391304348,0.16,0.1,3.7812398467850543,0.1,57,0.85,0.07,0.94,77.52,0,0,-1,0,0.9123921750237174,0.08760782497628294
Kurald_Galain,100,2.583698561829292,2.99046402884523,801.6902971318575,0.2250140662413717,0.060564057538509,0.0781699456386277,0.0583190339190782,1.422680412371134,5.257731958762887,1.0411963342204718,0.83,11.590361445783133,0.19,0.07,3.544587550336881,0.1,47,0.97,0.01,0.99,71.19,0,0,-1,0,0.9986709878657358,0.0013290121342639902
MarkosianDavid,100,4.254896282261491,13.553072639943004,517.2212551532359,0.2312592509663708,0.065977557165831,0.0812173504391723,0.0725948182679611,1.61,5.82,0.8562555746485045,0.81,8.592592592592593,0.11,0.26,3.688739508253888,0.06,50,0.8,0.07,0.93,79.1,0,0,-1,0,0.9999999997750315,2.2496871159896886e-10
MoreChaoticSensei,100,3.4790577188383294,5.993351192486092,975.7440549480384,0.2051939697219939,0.0553671917873641,0.0647924805530185,0.0534481920609671,1.38,5.56,0.3415585059681634,0.8,10.9,0.15,0.13,3.61148654271476,0.1,49,0.34,0.25,0.76,91.99,1,1,-1,1,1.8341109125035024e-14,0.9999999999999822
NWCI,100,3.1639519092963955,5.897185610129531,1217.8817714157578,0.2149796823046024,0.0458640346659101,0.0727209154186244,0.0622165028114505,1.33,5.39,0.5704450796849131,0.92,9.184782608695652,0.05,0.53,3.6527853331809848,0.07,49,0.66,0.03,0.97,77.65,1,1,-1,1,3.3926137252496043e-22,1.0
NightOFzero,100,6.430934773856994,17.566047494261714,988.9097673069964,0.2402573533492492,0.0581876661513259,0.0875314199003415,0.0780076143995655,1.9895833333333333,5.416666666666667,0.547453087988146,0.75,10.506666666666666,0.1,0.42,3.975142006688508,0.06,64,0.76,0.14,0.87,72.64,0,0,-1,0,1.0,7.838654556622e-17
OX528354,100,3.615223310897132,4.532964247241085,798.9603404904988,0.2162738879872859,0.0578162155564653,0.0748760316054436,0.059589296010377,1.49,5.83,0.3848466668869059,0.94,8.138297872340425,0.02,0.35,4.019257552914262,0.04,64,0.63,0.15,0.87,92.76,1,1,-1,1,7.009669823703801e-06,0.9999929903301767
OlhaSoComoSeJoga,100,3.138320229926397,4.601723948149866,964.2773754312366,0.2260169579514567,0.0500771338756248,0.0858693923841334,0.0559906665823027,1.36,5.1,0.2782640825958568,0.87,9.482758620689657,0.11,0.12,3.612759982381558,0.07,46,0.55,0.1,0.93,89.19,1,1,-1,1,0.00016428508735099017,0.9998357149126497
Pap-G,100,1.4120003367255736,2.456793947776206,821.9304770293473,0.2210565965919195,0.0511512483372317,0.0777108092765063,0.0605159740158071,1.26,5.7,0.6104062204620183,0.85,9.56470588235294,0.09,0.17,3.457160806531471,0.21,50,0.86,0.06,0.96,94.9,1,1,-1,1,0.01883921918446672,0.9811607808155334
SashaKuzhilniy,100,1.9789172417008256,3.7213123489744806,1182.929081338763,0.2266248603863504,0.0547697817703217,0.0762450773787152,0.0545230629658884,1.54,5.51,0.5796024610267003,0.83,9.50602409638554,0.13,0.12,3.761273156392458,0.12,58,0.63,0.12,0.9,91.45,1,1,-1,1,4.31166791694487e-05,0.99995688332083
TheSchmakel,59,2.962053923031466,6.85199567355875,1164.2837889870684,0.2176950337837664,0.0650733164593853,0.0908972270872751,0.0806677504399206,1.305084745762712,5.11864406779661,0.3364472331627334,0.8305084745762712,8.979591836734693,0.0677966101694915,0.3389830508474576,3.0377756309516597,0.1016949152542373,25,0.6610169491525424,0.0677966101694915,0.9491525423728814,85.64406779661017,0,0,-1,0,0.9957939483205185,0.0042060516794812895
Tuzakli_Egitim,100,3.686072722324369,5.010644593784,608.589421730905,0.2074095970934803,0.0534405429970778,0.0788173119228248,0.0809206174631416,1.79,5.99,0.2500724461463937,0.87,9.379310344827584,0.07,0.34,3.73556082052513,0.1,57,0.7,0.12,0.89,96.99,1,1,-1,1,8.727121088255983e-05,0.9999127287891173
Ultra_D_Instinct,100,3.882205885783678,9.253225262349176,806.2978107337503,0.2281542628252821,0.0513494287562848,0.0912896783106051,0.0709346308063772,2.05,5.55,0.7782522081347136,0.76,9.828947368421051,0.17,0.34,3.944018138730202,0.05,60,0.8,0.05,0.96,84.5,0,0,-1,0,0.9999869055163509,1.3094483648263608e-05
Volga_Tiger,100,4.370110484121497,10.58989825818721,1100.550968357697,0.2176190568724261,0.054911197495502,0.0805540080418793,0.0736554296762978,1.31,5.33,0.6567565607949325,0.83,8.313253012048193,0.01,0.04,2.69079033333697,0.25,27,0.63,0.14,0.87,84.84,1,1,-1,1,3.627255700701319e-08,0.9999999637274424
aspiringstar,98,2.2960680026670173,4.069148434878425,1148.4461086737062,0.2244278981624258,0.0648860459363483,0.0861491809917408,0.0666646785183168,1.7040816326530612,5.908163265306122,0.6864854687408987,0.8775510204081632,9.383720930232558,0.1326530612244898,0.3775510204081632,3.996773677388602,0.0714285714285714,65,0.8367346938775511,0.0306122448979591,0.9693877551020408,82.63265306122449,0,1,-1,0,4.079793867859282e-07,0.9999995920206126
chess-network,100,0.8924175511451581,1.2803846232942453,1212.7519982473664,0.2347454240235046,0.0820632187329165,0.0826805039428576,0.0898260698659545,1.42,5.11,1.568084406913411,0.68,12.25,0.13,0.4,3.8884553745713664,0.07,59,0.97,0.02,0.99,68.42,0,0,-1,0,1.0,7.53304494364729e-18
chess_fighter2806,100,2.4349912770494235,3.0499776011484547,717.2839461194576,0.2247997052028744,0.055216652667209,0.0715983933188935,0.0509581834447586,1.43,5.16,0.4133652106578541,0.91,9.24175824175824,0.27,0.21,3.854514750853532,0.07,60,0.6,0.09,0.92,88.22,1,1,-1,1,0.003295565830905998,0.9967044341690933
chessmount,100,1.846278260992965,2.6919505968849964,1193.8575280403993,0.2171346855316074,0.0505974731533122,0.0711518521117779,0.0440299788356272,1.19,5.28,0.6079430786038853,0.94,7.8936170212765955,0.07,0.2,3.612870972095599,0.12,50,0.61,0.09,0.92,83.34,1,1,-1,1,1.751715843215264e-08,0.9999999824828408
chessrun2020,100,3.452410089489432,3.983303071488419,740.152237359363,0.2116167029084903,0.0536322092861731,0.0725280217670357,0.0526609681905594,1.53,5.52,0.4480291716544187,0.94,8.25531914893617,0.05,0.17,3.5563259528789724,0.14,49,0.55,0.2,0.8,84.37,1,1,-1,1,8.517486741077217e-06,0.9999914825132582
dakaissa25,71,2.4502742192423206,3.3607721041483862,714.9164921179114,0.2095168122057623,0.0647599535144949,0.0730434286983887,0.0814718729888594,1.3943661971830985,5.605633802816901,0.365274343326497,0.8450704225352113,10.533333333333331,0.1267605633802817,0.1690140845070422,3.4815126458272365,0.0985915492957746,41,0.6901408450704225,0.1830985915492957,0.8591549295774648,93.6056338028169,1,1,-1,1,5.557567877071262e-05,0.9999444243212292
dudalodudalo,100,1.9705624986563093,3.487311722874551,728.6244917050076,0.215839078700656,0.0610803831061282,0.0754365586179223,0.0631463937886931,1.34,5.29,0.4815880006529858,0.81,10.320987654320987,0.03,0.1,3.0609480039790915,0.12,32,0.63,0.13,0.89,83.81,1,1,-1,1,2.7601295024623216e-08,0.9999999723987049
i_love_1C,100,2.2713637515244924,4.995354614874792,1142.402477730382,0.2150389624748451,0.0557301098405392,0.0636376271953873,0.0543397169660137,1.59,5.54,0.6496507182114187,0.74,12.094594594594597,0.06,0.0,2.6060765009335984,0.26,22,0.62,0.05,0.96,90.27,1,1,-1,1,1.3527477672737228e-08,0.999999986472524
ilqar_7474,100,3.569862243874632,5.304318920350648,567.512303398917,0.2049966913988523,0.0515324260176516,0.0750929585875623,0.0724948770812256,1.87,5.89,0.3175008896674883,0.89,9.50561797752809,0.05,0.29,3.708077076672253,0.09,52,0.69,0.15,0.85,107.63,1,1,-1,1,9.62257669522605e-06,0.9999903774233055
likewater,88,4.9804717607654085,16.916424127680678,1140.532630044888,0.2280246571898568,0.0576686960007474,0.0875721535038055,0.0730587761281106,1.181818181818182,5.204545454545454,0.3313448754391575,0.8295454545454546,7.808219178082192,0.0568181818181818,0.4659090909090909,3.4656138968147694,0.0909090909090909,45,0.6704545454545454,0.0568181818181818,0.9545454545454546,77.81818181818181,0,0,-1,0,0.9999999999851727,1.4828003799998074e-11
masterthetempo,100,2.61546846477713,3.168917742185989,829.5257282346741,0.2259750274211721,0.0527231308637165,0.0776083213491175,0.070963853478563,1.68,5.48,0.483938898784063,0.9,8.88888888888889,0.1,0.3,3.889437629629156,0.06,61,0.67,0.11,0.89,82.31,1,1,-1,1,0.0008961694660762972,0.9991038305339235
messiofchessssssssss,100,4.909779154850285,15.49485993469477,665.1034111373262,0.2316490851804018,0.0651680328426418,0.0782690410958264,0.078669644931755,2.083333333333333,5.395833333333333,0.5773940734968164,0.81,8.703703703703704,0.11,0.45,3.737637464596388,0.09,53,0.74,0.1,0.91,82.8,0,0,-1,0,0.9999999999982769,1.723738435953153e-12
playRapidNotBlitz,100,2.6588935115342287,3.891519416559549,1010.633156260006,0.2212064625774383,0.0604400884910848,0.0825794610155978,0.0713372606715922,1.36,5.59,0.4797825058546361,0.93,9.279569892473118,0.06,0.42,3.8448529923827,0.07,58,0.61,0.11,0.92,88.4,1,1,-1,1,1.6569174211298606e-05,0.9999834308257883
self_service,100,2.708693755147737,5.323635584411325,1269.9001473713563,0.2262107311171665,0.0493072207295988,0.0801615818998453,0.0595329127315034,1.3,5.36,0.6134446424481024,0.87,10.080459770114942,0.01,0.28,3.447386914104963,0.09,40,0.6,0.14,0.88,83.28,1,1,-1,1,8.576895541693098e-06,0.9999914231044583
sloppydogg,100,1.914012928298736,3.904304106759997,1359.792733995081,0.2286894341348232,0.0523541354168129,0.078053916186483,0.0749067319345712,1.65,5.65,0.640671459713823,0.87,11.10344827586207,0.09,0.32,3.7783550300862334,0.08,55,0.67,0.11,0.9,79.1,1,1,-1,1,2.8404650264150293e-06,0.9999971595349741
yuuki-asuna,100,2.806475878625319,3.278846822567198,525.010393233082,0.2434195795764404,0.0601203775825249,0.0944217674601609,0.088124531576251,1.52,5.33,0.907784928164754,0.91,9.23076923076923,0.12,0.33,3.0808466334323947,0.16,34,0.89,0.09,0.91,73.66,0,0,-1,0,0.9993081759104644,0.0006918240895354614
