username,n_games,panic_score_mean,panic_score_std,time_per_move_mean,capture_rate_mean,capture_rate_std,sacrifice_rate_mean,check_rate_mean,early_aggression_mean,piece_activity_mean,avg_material_diff,castle_rate,avg_castle_move,gambit_rate,sharp_opening_rate,win_rate,draw_rate,decisive_rate,avg_game_length
AtalikS,100,2.977214197149759,4.327005089889536,490.2398215458634,0.21797754179700632,0.05431606840629924,0.07914293350889084,0.05268458470647277,1.38,5.58,0.7071225042325557,0.92,9.652173913043478,0.12,0.19,0.76,0.15,0.86,82.25
Chesssknock,100,3.79473246417216,6.572314382590744,753.9571752302581,0.20670714303509768,0.06192438265106001,0.06432768018734883,0.04497130407719335,1.0,5.54,0.38837509903578576,0.81,11.25925925925926,0.0,0.0,0.54,0.19,0.82,101.32
CoolChessSchool,100,3.3895175145413448,4.3599715280806,835.6854997670946,0.2277331827644584,0.057992981811940125,0.08161870356076159,0.07066088209689543,1.79,6.12,0.6078757476633563,0.94,8.75531914893617,0.04,0.05,0.74,0.16,0.87,84.54
Heavyisthecrown123,100,2.6299149443030836,5.923004200031581,927.7276351196177,0.22821336416833518,0.05949977655738412,0.08079705172291442,0.0730690055718887,1.7,5.52,0.34370969870951307,0.83,10.831325301204819,0.24,0.38,0.58,0.17,0.86,89.81
HenryChesspro,100,7.3605556928194416,11.020975236949663,1235.0524315225084,0.24761885992416827,0.06266686177751073,0.09698990619629587,0.08467647323729183,1.85,4.69,0.4873665937002536,0.86,10.220930232558139,0.34,0.34,0.79,0.08,0.93,69.39
I_Am_The_Wise_Raven,83,1.7678107537445233,2.9400935746602297,992.7830943291625,0.22125932823280875,0.058679789164398685,0.0788948826298562,0.07582474840177264,1.6282051282051282,5.5256410256410255,0.016435999239805692,0.7469879518072289,8.790322580645162,0.03614457831325301,0.27710843373493976,0.5903614457831325,0.060240963855421686,0.9518072289156626,94.33734939759036
JohnWaball,100,2.1829841958120975,3.607815376997467,982.290787460296,0.2280741733004079,0.0437612171964472,0.07660439997735417,0.06606935024544767,1.31,5.35,0.5049727875263503,0.86,9.616279069767442,0.08,0.13,0.62,0.11,0.89,89.25
Just_No_Fun,100,1.9747062308815333,4.085062722034323,600.1813024920701,0.23749404702980556,0.059483009885076196,0.0926046668949121,0.06245697741552902,1.39,5.33,0.8499978408089711,0.92,8.565217391304348,0.16,0.1,0.85,0.07,0.94,77.52
Kurald_Galain,100,2.5836985618292916,2.99046402884523,801.6902971318575,0.22501406624137174,0.06056405753850907,0.07816994563862777,0.05831903391907827,1.422680412371134,5.257731958762887,1.0411963342204718,0.83,11.590361445783133,0.19,0.07,0.97,0.01,0.99,71.19
OlhaSoComoSeJoga,100,3.138320229926397,4.601723948149866,964.2773754312366,0.2260169579514567,0.05007713387562489,0.0858693923841334,0.055990666582302735,1.36,5.1,0.2782640825958568,0.87,9.482758620689655,0.11,0.12,0.55,0.1,0.93,89.19
Pap-G,100,1.4120003367255736,2.456793947776206,821.9304770293473,0.22105659659191956,0.05115124833723177,0.07771080927650634,0.06051597401580715,1.26,5.7,0.6104062204620183,0.85,9.564705882352941,0.09,0.17,0.86,0.06,0.96,94.9
SashaKuzhilniy,100,1.9789172417008256,3.7213123489744806,1182.929081338763,0.2266248603863504,0.05476978177032178,0.07624507737871522,0.05452306296588848,1.54,5.51,0.5796024610267003,0.83,9.506024096385541,0.13,0.12,0.63,0.12,0.9,91.45
Tuzakli_Egitim,100,3.686072722324369,5.010644593784,608.589421730905,0.20740959709348036,0.05344054299707786,0.0788173119228248,0.08092061746314169,1.79,5.99,0.25007244614639373,0.87,9.379310344827585,0.07,0.34,0.7,0.12,0.89,96.99
Ultra_D_Instinct,100,3.882205885783678,9.253225262349176,806.2978107337503,0.22815426282528214,0.05134942875628483,0.09128967831060515,0.07093463080637728,2.05,5.55,0.7782522081347136,0.76,9.828947368421053,0.17,0.34,0.8,0.05,0.96,84.5
aspiringstar,98,2.2960680026670173,4.069148434878425,1148.4461086737062,0.22442789816242587,0.06488604593634834,0.0861491809917408,0.06666467851831688,1.7040816326530612,5.908163265306122,0.6864854687408987,0.8775510204081632,9.383720930232558,0.1326530612244898,0.37755102040816324,0.8367346938775511,0.030612244897959183,0.9693877551020408,82.63265306122449
chess-network,100,0.8924175511451581,1.2803846232942453,1212.7519982473664,0.23474542402350462,0.08206321873291654,0.08268050394285767,0.08982606986595452,1.42,5.11,1.568084406913411,0.68,12.25,0.13,0.4,0.97,0.02,0.99,68.42
chessmount,100,1.8462782609929655,2.6919505968849964,1193.8575280403993,0.21713468553160742,0.050597473153312235,0.07115185211177794,0.0440299788356272,1.19,5.28,0.6079430786038853,0.94,7.8936170212765955,0.07,0.2,0.61,0.09,0.92,83.34
chessrun2020,100,3.452410089489432,3.9833030714884194,740.152237359363,0.21161670290849038,0.05363220928617316,0.07252802176703572,0.05266096819055946,1.53,5.52,0.44802917165441875,0.94,8.25531914893617,0.05,0.17,0.55,0.2,0.8,84.37
ilqar_7474,100,3.5698622438746317,5.304318920350648,567.512303398917,0.20499669139885238,0.05153242601765167,0.07509295858756239,0.07249487708122565,1.87,5.89,0.31750088966748835,0.89,9.50561797752809,0.05,0.29,0.69,0.15,0.85,107.63
masterthetempo,100,2.61546846477713,3.1689177421859895,829.5257282346741,0.22597502742117218,0.0527231308637165,0.07760832134911752,0.07096385347856309,1.68,5.48,0.483938898784063,0.9,8.88888888888889,0.1,0.3,0.67,0.11,0.89,82.31
yuuki-asuna,100,2.806475878625319,3.278846822567198,525.010393233082,0.24341957957644048,0.060120377582524975,0.09442176746016093,0.08812453157625104,1.52,5.33,0.9077849281647541,0.91,9.23076923076923,0.12,0.33,0.89,0.09,0.91,73.66
